"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","45/3495","120/8362",0.375,0.897210300429185,-0.961049912019835,0.854283840918218,0.983690391682619,0.897205650308609,"115/2767/111/5336/5595/84699/6753/6655/5579/6750/5567/112/2690/109/5747/6752/5293/1398/776/6751/5602/6416/8835/5605/2776/23236/5894/3845/2353/5608/9564/5330/5335/2885/778/8503/5296/775/113/5332/2688/2770/6772/2932/3479",45
"Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","76/3495","198/8362",0.383838383838384,0.918356671146371,-0.985198699069753,0.855131152715111,0.983690391682619,0.897205650308609,"9076/137075/3576/1902/10672/840/10382/79861/3553/2149/5595/9368/3569/9075/4691/8743/57180/7122/4641/382/9267/8976/10381/5010/9073/203068/355/81873/4430/4642/5602/10686/84790/8795/3654/8737/9826/10095/5781/3606/147179/5062/7132/4644/27128/8797/4640/7186/2353/10376/1366/9074/837/9069/3071/57121/9871/998/578/10787/4628/4690/2597/23562/842/3059/4792/4645/6188/149461/644150/23118/356/5879/64005/2534",76
"Cellular Processes","Cell motility","hsa04814","Motor proteins","74/3495","193/8362",0.383419689119171,0.917354918573536,-0.98431305905381,0.855139942769549,0.983690391682619,0.897205650308609,"7171/79819/80022/55083/10382/79861/10112/3798/9928/127602/3800/4641/124602/10749/22989/4621/23303/9493/10381/11004/3799/3801/1062/146909/347240/1770/24137/9585/203068/147700/81930/547/3833/4430/7283/3832/4642/285643/89953/146754/53904/84790/7140/64147/56992/25981/11127/4644/64837/51143/4640/4634/10376/57519/103910/4636/8632/1767/55582/4628/23046/84376/4649/83658/4622/10627/4645/221458/7137/70/4648/832/64005/23095",74
"Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","33/3495","90/8362",0.366666666666667,0.87727229375298,-0.991929115214032,0.864528004481308,0.99125035041505,0.904100947597459,"54106/5595/7535/1459/916/27040/5293/5728/917/5781/919/5605/238/1956/5894/915/3845/2353/5608/3091/5335/8503/4794/148022/1460/5296/4792/3932/920/3716/5535/6772/10125",33
"Metabolism","Metabolism of cofactors and vitamins","hsa00785","Lipoic acid metabolism","6/3495","19/8362",0.315789473684211,0.755545516150892,-0.903931903965449,0.873286242659611,0.994670638483965,0.907220528521559,"1743/2653/116285/275/55753/1629",6
"Metabolism","Lipid metabolism","hsa00590","Arachidonic acid metabolism","22/3495","62/8362",0.354838709677419,0.848973187502884,-1.01142313577114,0.873556236787332,0.994670638483965,0.907220528521559,"27306/2053/3248/54979/4056/284273/239/247/26279/8399/5742/8398/11145/10728/123745/145482/8644/255189/874/4051/242/5730",22
"Environmental Information Processing","Signal transduction","hsa04630","JAK-STAT signaling pathway","59/3495","157/8362",0.375796178343949,0.899115205525637,-1.08133005892555,0.87795953776181,0.994670638483965,0.907220528521559,"3570/3977/3589/596/595/5008/9306/1271/3569/3588/6655/3590/8554/4609/1026/85480/5159/2690/8027/2273/598/1440/3587/5293/3566/3558/51561/5617/3976/5156/8835/5781/5155/6775/1956/3595/5894/3600/23529/3601/9180/2885/3572/8503/30837/1439/5296/9063/149233/3953/1441/3560/2057/3716/2688/29949/6772/53832/3581",59
"Metabolism","Global and overview maps","hsa01210","2-Oxocarboxylic acid metabolism","11/3495","33/8362",0.333333333333333,0.797520267048164,-0.987561445970645,0.878814115251458,0.994670638483965,0.907220528521559,"50/84706/3419/587/1743/2875/2805/162417/51166/55753/1629",11
"Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","64/3495","170/8362",0.376470588235294,0.900728772195573,-1.10808968174629,0.882715552766728,0.995884213377847,0.908327407536613,"9076/137075/861/595/1019/7074/79861/9368/9075/57180/7122/912/9223/5010/5567/58494/4734/9073/64398/58538/51422/55114/81873/8531/5521/776/23327/5602/10686/87/84790/5516/5111/11346/10095/5563/51421/54566/50855/23370/91862/911/57530/5906/1740/10376/1366/9074/9069/103910/998/7454/5581/4628/123720/23562/3059/10627/27134/2064/5590/149461/5879/3993",64
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","88/3495","231/8362",0.380952380952381,0.91145173376933,-1.15647460407418,0.88993432107814,1,0.912081339712919,"1902/85477/10672/8817/6548/8516/7074/6387/3673/2149/5595/81624/2909/730/80310/3683/57180/128239/6655/10788/3695/2934/2263/22801/3685/8976/624/3984/55970/733/5159/623/324/81873/5747/5500/5293/1398/1132/55740/3696/87/7409/5156/51571/10095/3827/5605/5880/2254/5155/3682/3678/5062/9459/81553/1956/5894/3675/3845/8395/9564/3672/3071/57121/50649/103910/4636/3655/998/10787/4628/4638/3985/8503/1133/2335/369/5296/10627/1793/2261/9087/5829/1128/3687/5879/3681",88
"Genetic Information Processing","Folding, sorting and degradation","hsa03060","Protein export","10/3495","31/8362",0.32258064516129,0.771793806820804,-1.0786529477935,0.897844945645565,1,0.912081339712919,"58477/23480/83943/3309/6731/90701/5018/10952/29927/51608",10
"Environmental Information Processing","Signaling molecules and interaction","hsa04081","Hormone signaling","81/3495","215/8362",0.376744186046512,0.901383371593971,-1.24134514734892,0.90565972475327,1,0.912081339712919,"2788/115/2767/111/5745/2981/5593/10672/2980/2792/7068/5368/51764/2852/6753/5021/6750/2100/2641/153/3685/154/5567/112/54331/55970/2796/7433/2690/109/2099/150/6752/5293/6751/183/5367/5617/84539/2696/7432/553/2775/90226/9370/114131/4089/1734/2776/4987/53919/2642/23236/151/9843/148/2769/886/10267/796/90/5330/2790/11069/155/8503/4090/5296/3643/3953/113/185/2057/4986/7253/5332/2688/2770/2786/2793/3479",81
"Metabolism","Metabolism of terpenoids and polyketides","hsa00900","Terpenoid backbone biosynthesis","7/3495","23/8362",0.304347826086957,0.728170678609193,-1.10617862101626,0.908347682137616,1,0.912081339712919,"38/79947/2339/3158/9453/2224/91734",7
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","63/3495","172/8362",0.366279069767442,0.87634494460525,-1.38853291002431,0.929538569048678,1,0.912081339712919,"596/3576/8767/3326/3553/6352/5595/6041/10628/3569/7188/7205/388646/10910/2920/1673/2635/838/598/55914/24145/91662/5602/9927/118429/11337/10135/8737/3606/3320/79671/2921/54822/84168/5580/25828/23236/1668/7186/56919/7158/4938/837/5330/11035/4940/23710/329/2633/114769/2919/22861/148022/4792/64127/3716/5332/23118/5027/6772/10616/846/22900",63
"Organismal Systems","Endocrine system","hsa04910","Insulin signaling pathway","49/3495","137/8362",0.357664233576642,0.855733425226862,-1.44271344679394,0.937945780816358,1,0.912081339712919,"32/5577/10891/5595/2194/6009/31/2872/6655/92579/5792/801/5105/1978/5567/8569/51422/5500/5293/1398/5602/572/2002/91860/8835/5575/5106/5605/5563/23265/5894/3845/805/5837/808/2308/3632/3099/2885/8503/369/5296/57818/3643/2538/5509/5590/90673/2932",49
"Organismal Systems","Aging","hsa04213","Longevity regulating pathway - multiple species","20/3495","61/8362",0.327868852459016,0.78444616430967,-1.43178396582324,0.942479517914542,1,0.912081339712919,"115/111/81570/3066/5567/112/51422/109/5293/3312/5563/1979/3845/2308/8503/847/5296/3643/113/3479",20
"Environmental Information Processing","Signal transduction","hsa04340","Hedgehog signaling pathway","18/3495","56/8362",0.321428571428571,0.769037400367873,-1.46947343015873,0.947555150186289,1,0.912081339712919,"596/595/408/57758/5567/1454/102800317/6469/64399/55733/11127/4036/1954/1455/57154/1453/8454/2932",18
